Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avgerage ban turn,Average game time,CS per minute,Damage to champions per minute,Gold per minute,CS differential at 15 minutes,Gold differential at 15 minutes,XP differential at 15 minutes
Aatrox,24,21,96%,17,7,71%,3.8,4.4,31:49:00,8,573,405,7.8,113,332
Sylas,18,21,83%,12,6,67%,4.3,3.7,31:39:00,8.2,515,417,-4.5,274,-93
Kalista,7,30,79%,3,4,43%,2.9,4.2,30:16:00,8.7,405,419,-3.3,-522,-309
Maokai,22,13,74%,15,7,68%,3.9,3.9,32:14:00,4.6,392,319,-4.2,-59,-92
Sejuani,19,15,72%,8,11,42%,3.5,4.5,31:01:00,5.2,322,316,-2,-260,-6
Hecarim,14,17,66%,7,7,50%,2.6,3.4,29:57:00,5.8,355,359,9.6,130,268
Caitlyn,4,24,60%,0,4,0%,3.1,5.1,33:38:00,9.7,610,417,8.2,-166,387
Kaisa,17,10,57%,9,8,53%,6.3,6.6,30:48:00,9.6,551,470,1.4,170,115
Amumu,13,13,55%,10,3,77%,3.4,6.1,31:52:00,1.1,186,254,1.9,222,291
Miss Fortune,17,9,55%,8,9,47%,3.7,7.2,31:45:00,9.3,599,438,2.8,363,223
Azir,11,14,53%,5,6,45%,3.4,4,29:43:00,9.2,726,415,14.2,27,163
Graves,8,16,51%,4,4,50%,4.9,3.1,30:18:00,7.2,489,402,14.1,580,400
Gnar,16,8,51%,9,7,56%,3,6,32:04:00,7.7,547,387,0.1,205,59
Aphelios,12,12,51%,6,6,50%,3.9,5.3,30:03:00,9.3,571,447,4,231,-197
LeBlanc,8,15,49%,4,4,50%,4.4,4.9,33:43:00,7.6,589,392,1.1,-220,195
Leona,18,5,49%,8,10,44%,2.4,9.2,31:31:00,1.1,122,235,1.3,-106,-125
Yuumi,6,17,49%,4,2,67%,8.2,4.9,32:19:00,0.3,509,241,-12.2,305,460
Nautilus,9,13,47%,2,7,22%,1.3,8.5,29:23:00,1.2,146,222,0.9,-255,28
Akali,9,10,40%,6,3,67%,4,4.1,33:32:00,8.4,623,421,2.8,-33,201
Taliyah,9,10,40%,2,7,22%,2.6,6,30:05:00,8.9,658,394,2,-279,173
Alistar,11,7,38%,4,7,36%,2.1,8,31:05:00,1,135,215,-0.5,-269,-257
Trundle,9,9,38%,4,5,44%,3.7,5,31:31:00,4.3,242,306,-11.9,-183,-317
Draven,2,15,36%,0,2,0%,1.3,2.2,30:57:00,8.5,528,422,-2,-712,598
Viktor,10,4,30%,5,5,50%,2.5,4.3,30:35:00,8.7,676,416,8.1,300,92
Seraphine,6,8,30%,2,4,33%,4.4,5.5,31:21:00,8.5,495,384,-14.3,-1098,-230
Ornn,4,9,28%,1,3,25%,1.9,7.4,30:30:00,6.6,389,307,-13.5,-1299,-456
Fiora,5,6,23%,3,2,60%,1.8,3.7,30:07:00,8.8,484,394,17.4,429,573
Poppy,2,9,23%,1,1,50%,2.1,6.2,26:07:00,4.1,273,297,-17,-261,-730
Tristana,8,3,23%,6,2,75%,4.7,8.3,32:58:00,10,609,469,-1.5,-42,-144
Kennen,6,4,21%,3,3,50%,1.6,5.8,31:47:00,7.4,540,377,-8.3,367,-446
Lee Sin,6,4,21%,4,2,67%,5.4,8,30:21:00,5.7,227,339,-5.8,-357,-224
Tahm Kench,5,5,21%,5,0,100%,9.8,7.6,29:01:00,1.3,172,263,6,437,95
Galio,6,3,19%,1,5,17%,3,8.7,29:47:00,7.6,472,344,-16,-890,-375
Lissandra,5,4,19%,2,3,40%,3.8,7,28:27:00,8.7,378,405,-6.6,-53,-106
Renekton,2,7,19%,0,2,0%,1.5,8,33:18:00,8.2,387,345,-8.5,-544,-425
Vi,4,5,19%,1,3,25%,2.1,6,36:20:00,4.9,167,292,-1,-139,-338
Ezreal,4,4,17%,3,1,75%,13,9,25:31:00,9.3,617,442,0.5,240,195
Jax,5,3,17%,1,4,20%,1.3,5,33:07:00,8.1,418,398,-11.4,-37,-454
Braum,5,3,17%,1,4,20%,1.7,9,29:39:00,1.2,138,222,1.6,29,-133
Viego,8,0,17%,5,3,63%,4,-,28:19:00,5.5,342,361,1.2,87,395
Gwen,4,4,17%,1,3,25%,1.6,8.8,31:16:00,8.4,496,391,0.2,-102,-449
Vex,6,2,17%,3,3,50%,3.6,8,31:48:00,8.3,635,423,1.3,269,-238
Pantheon,1,6,15%,0,1,0%,2.8,2,33:25:00,5.3,573,354,-18,-279,-290
Camille,4,3,15%,1,3,25%,1.4,7.7,30:51:00,7.5,558,374,-13.5,-1020,-906
Xayah,3,4,15%,0,3,0%,1.4,9.5,29:18:00,9.3,357,375,-21,-1232,-728
Rell,4,3,15%,3,1,75%,4.8,8.7,33:19:00,1.1,110,232,9.2,90,-877
Ahri,1,5,13%,1,0,100%,3,8.2,40:13:00,8.4,450,397,-15,375,-951
Swain,2,4,13%,1,1,50%,3.5,6.5,32:20:00,7.2,552,354,-28.5,-476,-1248
Sett,6,0,13%,2,4,33%,2.1,-,28:42:00,2.2,358,279,5,336,251
Renata Glasc,3,3,13%,1,2,33%,3.6,9.3,27:35:00,0.9,171,237,-13.7,-213,-238
Belveth,3,3,13%,2,1,67%,15,1.3,30:10:00,7.1,454,473,25.3,1330,549
Sivir,5,0,11%,4,1,80%,5.8,-,32:32:00,10.3,648,470,3,202,-47
Lillia,4,1,11%,1,3,25%,2.6,8,30:34:00,7.6,458,361,-8.2,-640,-421
Yone,3,2,11%,2,1,67%,4.5,6,30:37:00,9.8,592,445,11.7,1071,512
Jarvan IV,1,3,9%,0,1,0%,2.2,8.3,37:08:00,4.1,310,261,-7,-1127,-411
Mordekaiser,2,2,9%,1,1,50%,7.7,9,30:39:00,7.9,553,443,14.5,1640,840
Olaf,1,3,9%,1,0,100%,2.2,8.3,44:48:00,8.1,746,481,-1,-159,-133
Thresh,2,2,9%,2,0,100%,28,8,30:29:00,1.2,123,262,2.5,564,784
Varus,4,0,9%,4,0,100%,6.6,-,30:25:00,9.4,564,473,1.5,909,-172
Gangplank,2,1,6%,2,0,100%,12,7,24:48:00,8.3,755,524,-9.5,614,-112
Morgana,2,1,6%,0,2,0%,1.9,10,38:22:00,0.6,185,212,-16,162,-337
Shen,3,0,6%,2,1,67%,5,-,27:27:00,1.3,115,230,-0.3,-287,238
Wukong,3,0,6%,1,2,33%,3.9,-,32:25:00,5.4,406,372,-1,593,215
Zac,2,1,6%,1,1,50%,3.8,10,33:48:00,6.5,315,342,-11,-818,118
Rakan,2,1,6%,0,2,0%,1.7,8,31:30:00,1.2,82,207,-1,-545,-461
Zoe,1,2,6%,1,0,100%,-,6,23:01,8.5,704,443,-13,292,191
Nilah,2,1,6%,0,2,0%,3.8,10,36:44:00,9.5,429,411,5,-80,932
Irelia,1,1,4%,0,1,0%,0.5,8,24:56:00,7.7,272,302,-13,-1075,-1227
Karma,0,2,4%,,,,,7,0:00,,,,,,
Lux,1,1,4%,0,1,0%,0,8,29:27:00,1,222,202,-19,-144,-1049
Taric,1,1,4%,1,0,100%,5.7,9,35:26:00,1.3,97,251,0,-1,150
Samira,1,1,4%,0,1,0%,2,7,30:48:00,9.7,306,382,-2,-1530,-14
Ashe,1,0,2%,0,1,0%,1.6,-,28:51:00,7.5,738,392,-4,-526,-510
Garen,1,0,2%,0,1,0%,1.2,-,30:48:00,6.6,334,353,-8,-184,745
Gragas,1,0,2%,1,0,100%,-,-,32:50:00,8.3,610,405,25,470,812
Jinx,1,0,2%,1,0,100%,10,-,31:56:00,9.1,532,417,-23,-1288,-730
Lucian,1,0,2%,1,0,100%,-,-,35:22:00,10.5,835,524,12,685,50
Nami,1,0,2%,1,0,100%,14,-,35:22:00,0.4,122,248,3,-127,616
Nocturne,0,1,2%,,,,,8,0:00,,,,,,
Rumble,1,0,2%,0,1,0%,2.5,-,37:45:00,8.2,381,349,-2,26,89
Sion,1,0,2%,0,1,0%,0.5,-,26:07:00,8.2,333,331,-13,-1581,-530
Soraka,1,0,2%,0,1,0%,3,-,40:13:00,0.3,90,207,1,-703,6
Syndra,1,0,2%,1,0,100%,19,-,26:07:00,8.4,712,486,13,1581,530
Teemo,1,0,2%,0,1,0%,0.4,-,26:07:00,5.6,516,285,-38,-1585,-1752
Tryndamere,1,0,2%,0,1,0%,0.8,-,35:22:00,9.1,353,382,29,936,1060
Vayne,1,0,2%,1,0,100%,3.3,-,24:37:00,6.6,525,424,-3,1741,99
Vladimir,1,0,2%,0,1,0%,2,-,25:27:00,8.1,401,334,9,-469,368
Xin Zhao,1,0,2%,0,1,0%,0.8,-,25:41:00,5.4,256,299,6,-645,-89
Zilean,1,0,2%,0,1,0%,1,-,29:12:00,6,452,319,-11,-202,-280
Pyke,0,1,2%,,,,,7,0:00,,,,,,
Anivia,0,0,0%,,,,,-,0:00,,,,,,
Annie,0,0,0%,,,,,-,0:00,,,,,,
Blitzcrank,0,0,0%,,,,,-,0:00,,,,,,
Brand,0,0,0%,,,,,-,0:00,,,,,,
Cassiopeia,0,0,0%,,,,,-,0:00,,,,,,
Chogath,0,0,0%,,,,,-,0:00,,,,,,
Corki,0,0,0%,,,,,-,0:00,,,,,,
Darius,0,0,0%,,,,,-,0:00,,,,,,
Diana,0,0,0%,,,,,-,0:00,,,,,,
Dr. Mundo,0,0,0%,,,,,-,0:00,,,,,,
Elise,0,0,0%,,,,,-,0:00,,,,,,
Evelynn,0,0,0%,,,,,-,0:00,,,,,,
Fiddlesticks,0,0,0%,,,,,-,0:00,,,,,,
Fizz,0,0,0%,,,,,-,0:00,,,,,,
Heimerdinger,0,0,0%,,,,,-,0:00,,,,,,
Janna,0,0,0%,,,,,-,0:00,,,,,,
Jayce,0,0,0%,,,,,-,0:00,,,,,,
Karthus,0,0,0%,,,,,-,0:00,,,,,,
Kassadin,0,0,0%,,,,,-,0:00,,,,,,
Katarina,0,0,0%,,,,,-,0:00,,,,,,
Kayle,0,0,0%,,,,,-,0:00,,,,,,
KhaZix,0,0,0%,,,,,-,0:00,,,,,,
KogMaw,0,0,0%,,,,,-,0:00,,,,,,
Lulu,0,0,0%,,,,,-,0:00,,,,,,
Malphite,0,0,0%,,,,,-,0:00,,,,,,
Malzahar,0,0,0%,,,,,-,0:00,,,,,,
Master Yi,0,0,0%,,,,,-,0:00,,,,,,
Nasus,0,0,0%,,,,,-,0:00,,,,,,
Nidalee,0,0,0%,,,,,-,0:00,,,,,,
Nunu,0,0,0%,,,,,-,0:00,,,,,,
Orianna,0,0,0%,,,,,-,0:00,,,,,,
Quinn,0,0,0%,,,,,-,0:00,,,,,,
Rammus,0,0,0%,,,,,-,0:00,,,,,,
Rengar,0,0,0%,,,,,-,0:00,,,,,,
Riven,0,0,0%,,,,,-,0:00,,,,,,
Ryze,0,0,0%,,,,,-,0:00,,,,,,
Shaco,0,0,0%,,,,,-,0:00,,,,,,
Shyvana,0,0,0%,,,,,-,0:00,,,,,,
Singed,0,0,0%,,,,,-,0:00,,,,,,
Skarner,0,0,0%,,,,,-,0:00,,,,,,
Sona,0,0,0%,,,,,-,0:00,,,,,,
Talon,0,0,0%,,,,,-,0:00,,,,,,
Twisted Fate,0,0,0%,,,,,-,0:00,,,,,,
Twitch,0,0,0%,,,,,-,0:00,,,,,,
Udyr,0,0,0%,,,,,-,0:00,,,,,,
Urgot,0,0,0%,,,,,-,0:00,,,,,,
Veigar,0,0,0%,,,,,-,0:00,,,,,,
Volibear,0,0,0%,,,,,-,0:00,,,,,,
Warwick,0,0,0%,,,,,-,0:00,,,,,,
Xerath,0,0,0%,,,,,-,0:00,,,,,,
Yasuo,0,0,0%,,,,,-,0:00,,,,,,
Yorick,0,0,0%,,,,,-,0:00,,,,,,
Zed,0,0,0%,,,,,-,0:00,,,,,,
Ziggs,0,0,0%,,,,,-,0:00,,,,,,
Zyra,0,0,0%,,,,,-,0:00,,,,,,
RekSai,0,0,0%,,,,,-,0:00,,,,,,
VelKoz,0,0,0%,,,,,-,0:00,,,,,,
Bard,0,0,0%,,,,,-,0:00,,,,,,
Ekko,0,0,0%,,,,,-,0:00,,,,,,
Kindred,0,0,0%,,,,,-,0:00,,,,,,
Illaoi,0,0,0%,,,,,-,0:00,,,,,,
Jhin,0,0,0%,,,,,-,0:00,,,,,,
Aurelion Sol,0,0,0%,,,,,-,0:00,,,,,,
Kled,0,0,0%,,,,,-,0:00,,,,,,
Ivern,0,0,0%,,,,,-,0:00,,,,,,
Kayn,0,0,0%,,,,,-,0:00,,,,,,
Neeko,0,0,0%,,,,,-,0:00,,,,,,
Qiyana,0,0,0%,,,,,-,0:00,,,,,,
Senna,0,0,0%,,,,,-,0:00,,,,,,
Akshan,0,0,0%,,,,,-,0:00,,,,,,
Zeri,0,0,0%,,,,,-,0:00,,,,,,
